distance,p
1.1109,101326
1.11263,101326
1.11435,101326
1.11608,101326
1.1178,101326
1.11952,101326
1.12125,101326
1.12297,101326
1.1247,101326
1.12643,101326
1.12815,101326
1.12987,101326
1.1316,101326
1.13333,101326
1.13505,101326
1.13678,101326
1.1385,101326
1.14022,101326
1.14195,101326
1.14368,101326
1.1454,101326
1.14713,101326
1.14885,101326
1.15058,101326
1.1523,101326
1.15403,101326
1.15575,101326
1.15747,101326
1.1592,101326
1.16093,101326
1.16265,101326
1.16438,101326
1.1661,101326
1.16782,101326
1.16955,101326
1.17128,101326
1.173,101326
1.17473,101326
1.17645,101326
1.17817,101326
1.1799,101326
1.18163,101326
1.18335,101326
1.18508,101326
1.1868,101326
1.18852,101326
1.19025,101326
1.19197,101326
1.1937,101326
1.19543,101326
1.19715,101326
1.19887,101326
1.2006,101326
1.20233,101326
1.20405,101326
1.20578,101326
1.2075,101326
1.20922,101326
1.21095,101326
1.21268,101326
1.2144,101326
1.21613,101326
1.21785,101326
1.21957,101326
1.2213,101326
1.22303,101326
1.22475,101326
1.22648,101326
1.2282,101326
1.22993,101326
1.23165,101326
1.23338,101326
1.2351,101326
1.23682,101326
1.23855,101326
1.24028,101326
1.242,101326
1.24373,101326
1.24545,101326
1.24717,101326
1.2489,101326
1.25063,101326
1.25235,101326
1.25408,101326
1.2558,101326
1.25752,101326
1.25925,101326
1.26098,101326
1.2627,101326
1.26443,101326
1.26615,101326
1.26787,101326
1.2696,101326
1.27132,101326
1.27305,101326
1.27478,101326
1.2765,101326
1.27822,101326
1.27995,101326
1.28167,101326
1.2834,101326
1.28513,101326
1.28685,101326
1.28858,101326
1.2903,101326
1.29203,101326
1.29375,101326
1.29548,101326
1.2972,101326
1.29893,101326
1.30065,101326
1.30238,101326
1.3041,101326
1.30582,101326
1.30755,101326
1.30928,101326
1.311,101326
1.31273,101326
1.31445,101326
1.31617,101326
1.3179,101326
1.31963,101326
1.32135,101326
1.32308,101326
1.3248,101326
1.32652,101326
1.32825,101326
1.32998,101326
1.3317,101326
1.33343,101326
1.33515,101326
1.33687,101326
1.3386,101326
1.34032,101326
1.34205,101326
1.34378,101326
1.3455,101326
1.34722,101326
1.34895,101326
1.35067,101326
1.3524,101326
1.35413,101326
1.35585,101326
1.35758,101326
1.3593,101326
1.36102,101326
1.36275,101326
1.36448,101326
1.3662,101326
1.36793,101326
1.36965,101326
1.37138,101326
1.3731,101326
1.37483,101326
1.37655,101326
1.37828,101326
1.38,101326
1.38173,101326
1.38345,101326
1.38517,101326
1.3869,101326
1.38863,101326
1.39035,101326
1.39208,101326
1.3938,101326
1.39552,101326
1.39725,101326
1.39898,101326
1.4007,101326
1.40243,101326
1.40415,101326
1.40587,101326
1.4076,101326
1.40933,101326
1.41105,101326
1.41278,101326
1.4145,101326
1.41622,101326
1.41795,101326
1.41967,101326
1.4214,101326
1.42313,101326
1.42485,101326
1.42657,101326
1.4283,101326
1.43002,101326
1.43175,101326
1.43348,101326
1.4352,101326
1.43693,101326
1.43865,101326
1.44038,101326
1.4421,101326
1.44383,101326
1.44555,101326
1.44728,101326
1.449,101326
1.45073,101326
1.45245,101326
1.45417,101326
1.4559,101326
1.45763,101326
1.45935,101326
1.46108,101326
1.4628,101326
1.46452,101326
