distance,T
0.74175,1243.88
0.743475,1240.16
0.7452,1236.85
0.746925,1233.55
0.74865,1230.25
0.750375,1226.95
0.7521,1223.64
0.753825,1220.33
0.75555,1217.01
0.757275,1213.69
0.759,1210.37
0.760725,1207.05
0.76245,1203.73
0.764175,1200.41
0.7659,1197.1
0.767625,1193.78
0.76935,1190.46
0.771075,1187.15
0.7728,1183.83
0.774525,1180.54
0.77625,1177.24
0.777975,1173.95
0.7797,1170.65
0.781425,1167.36
0.78315,1164.07
0.784875,1160.82
0.7866,1157.56
0.788325,1154.3
0.79005,1151.04
0.791775,1147.78
0.7935,1144.55
0.795225,1141.34
0.79695,1138.13
0.798675,1134.92
0.8004,1131.72
0.802125,1128.51
0.80385,1125.34
0.805575,1122.2
0.8073,1119.05
0.809025,1115.9
0.81075,1112.75
0.812475,1109.6
0.8142,1106.52
0.815925,1103.44
0.81765,1100.36
0.819375,1097.29
0.8211,1094.21
0.822825,1091.15
0.82455,1088.15
0.826275,1085.15
0.828,1082.16
0.829725,1079.16
0.83145,1076.17
0.833175,1073.21
0.8349,1070.3
0.836625,1067.4
0.83835,1064.49
0.840075,1061.59
0.8418,1058.68
0.843525,1055.84
0.84525,1053.03
0.846975,1050.22
0.8487,1047.41
0.850425,1044.6
0.85215,1041.79
0.853875,1039.06
0.8556,1036.34
0.857325,1033.63
0.85905,1030.92
0.860775,1028.21
0.8625,1025.5
0.864225,1022.89
0.86595,1020.27
0.867675,1017.66
0.8694,1015.05
0.871125,1012.44
0.87285,1009.85
0.874575,1007.34
0.8763,1004.83
0.878025,1002.32
0.87975,999.805
0.881475,997.295
0.8832,994.827
0.884925,992.421
0.88665,990.015
0.888375,987.609
0.8901,985.203
0.891825,982.797
0.89355,980.456
0.895275,978.155
0.897,975.855
0.898725,973.555
0.90045,971.255
0.902175,968.954
0.9039,966.738
0.905625,964.542
0.90735,962.345
0.909075,960.149
0.9108,957.952
0.912525,955.757
0.91425,953.662
0.915975,951.567
0.9177,949.471
0.919425,947.376
0.92115,945.281
0.922875,943.207
0.9246,941.209
